,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,lnum_compromised,lroot_shell,lsu_attempted,lnum_root,lnum_file_creations,lnum_shells,lnum_access_files,lnum_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
0,0,1,19,9,58,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,71,1,0,1,0,0,0,0,0,Information Disclosure
1,0,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,1,0.06,0.0,0.94,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.05,0.0,0.95,1.0,Repudiation
2,0,1,50,9,1974,370,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,137,157,0.82,0.04,0.01,0.01,0.0,0.0,0.0,0.0,Normal
3,3,1,18,9,1242,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,99,0.39,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Spoofing
4,124,1,56,9,902,7863,0,0,0,1,0,1,3,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,Escalation of Privileges
5,0,1,19,9,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,11,43,1,0,1,0,0,0,0,0,Information Disclosure
6,0,1,22,9,245,18802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,255,1.0,0.0,0.14,0.05,0.0,0.0,0.0,0.0,Normal
7,5755,2,40,9,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.68,0.98,0.0,0.0,0.0,0.0,0.0,Normal
8,1930,2,40,9,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,Normal
9,86,1,56,9,298,6982,0,0,0,1,0,1,2,1,0,3,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,98,2,0,0,0,0,0,0,0,0,Escalation of Privileges
10,0,1,45,8,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,255,6,0,0,0,0,0,0,0,0,DoS
11,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,17,22,0,0,0,0,0,0,0,0,Information Disclosure
12,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
13,0,1,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,114,1,0.01,0.59,0.58,0.0,0.05,0.0,0.56,1.0,Repudiation
14,0,1,45,7,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,0,0,0,0,0,0,255,6,0,0,0,0,0,0,0,0,DoS
15,0,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,1,0.07,0.0,0.93,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.02,0.0,0.98,1.0,Repudiation
16,0,1,44,4,163,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,10,21,1,0,0,0,0,0,0,0,Information Disclosure
17,0,1,45,8,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,255,6,0,0,0,0,0,0,0,0,DoS
18,0,1,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,8,0,0,0,0,0,0,0,255,11,0,0,0,0,0,0,0,0,DoS
19,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
20,66,1,56,9,244,1313,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,7,1,0,0,0,0,0,0,0,Escalation of Privileges
